lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2	EARLIER	LATER	COMPARE
abundar	1_2	40	20	20	[36, 4]	[20, 0]	[16, 4]	[0.9, 0.1]	[1.0, 0.0]	[0.8, 0.2]	1	1	0	0.3286815269308577	1	3	1	3	3.6479591836734695	2.967032967032967	3.2175
adelante	1_2	40	20	20	[21, 7, 5, 4, 2, 1]	[6, 7, 2, 3, 2, 0]	[15, 0, 3, 1, 0, 1]	[0.525, 0.175, 0.125, 0.1, 0.05, 0.025]	[0.3, 0.35, 0.1, 0.15, 0.1, 0.0]	[0.75, 0.0, 0.15, 0.05, 0.0, 0.05]	1	0	1	0.586826264536423	1	3	1	3	2.4541284403669725	2.626126126126126	2.397489539748954
agradecer	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.4274193548387095	3.496031746031746	3.26171875
asolar	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.452755905511811	3.227272727272727	2.868231046931408
creciente	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.5096153846153846	3.595959595959596	3.5309278350515463
empresa	1_2	40	20	20	[23, 17]	[3, 17]	[20, 0]	[0.575, 0.425]	[0.15, 0.85]	[1.0, 0.0]	1	0	1	0.8238859813499594	1	3	1	3	3.0208333333333335	3.890625	2.4456521739130435
gracioso	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.4593023255813953	3.5824175824175826	3.419047619047619
instalación	1_2	40	20	20	[19, 8, 5, 4, 2, 1, 1]	[3, 7, 5, 3, 1, 1, 0]	[16, 1, 0, 1, 1, 0, 1]	[0.475, 0.2, 0.125, 0.1, 0.05, 0.025, 0.025]	[0.15, 0.35, 0.25, 0.15, 0.05, 0.05, 0.0]	[0.8, 0.05, 0.0, 0.05, 0.05, 0.0, 0.05]	1	0	1	0.6791656039454228	1	3	1	3	2.3173076923076925	2.9414414414414414	1.8508771929824561
interrogatorio	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.303030303030303	3.5904255319148937	3.3821989528795813
modo	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.4893617021276597	3.431578947368421	3.5100502512562812
mortal	1_2	40	20	20	[23, 8, 5, 4]	[8, 6, 3, 3]	[15, 2, 2, 1]	[0.575, 0.2, 0.125, 0.1]	[0.4, 0.3, 0.15, 0.15]	[0.75, 0.1, 0.1, 0.05]	1	0	1	0.3150929814766406	1	3	1	3	2.8058823529411763	2.532110091743119	2.454081632653061
mujer	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.5989583333333335	3.683673469387755	3.5326633165829144
no	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.6875	3.57	3.5990338164251208
nombramiento	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.391891891891892	3.746913580246914	3.477401129943503
obtener	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.5412371134020617	3.6372549019607843	3.495049504950495
pretender	1_2	40	20	20	[38, 2]	[19, 1]	[19, 1]	[0.95, 0.05]	[0.95, 0.05]	[0.95, 0.05]	0	0	0	0.0	1	3	1	3	3.1714285714285713	3.742857142857143	3.25
propuesta	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.417525773195876	3.883495145631068	3.244949494949495
saludar	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.611764705882353	3.5933333333333333	3.3491124260355027
suposición	1_2	40	20	20	[37, 2]	[17, 2]	[20, 0]	[0.949, 0.051]	[0.895, 0.105]	[1.0, 0.0]	0	0	0	0.23396980263771833	1	3	1	3	3.484848484848485	3.709090909090909	3.4681818181818183
tablero	1_2	40	20	20	[9, 8, 7, 5, 4, 3, 3, 1]	[6, 0, 6, 1, 1, 3, 3, 0]	[3, 8, 1, 4, 3, 0, 0, 1]	[0.225, 0.2, 0.175, 0.125, 0.1, 0.075, 0.075, 0.025]	[0.3, 0.0, 0.3, 0.05, 0.05, 0.15, 0.15, 0.0]	[0.15, 0.4, 0.05, 0.2, 0.15, 0.0, 0.0, 0.05]	1	1	1	0.7200499126998066	1	3	1	3	2.2122641509433962	2.0530973451327434	1.6293103448275863
